name,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"462,675,000,000","420,549,000,000","321,195,000,000","225,248,000,000","162,648,000,000","131,310,000,000","83,402,000,000","65,444,000,000","54,505,000,000","40,159,000,000","32,555,000,000","25,278,000,000","18,797,000,000","13,813,000,000","8,314,000,000","6,485,000,000","4,363,000,000","3,696,000,000","3,248,508,000","2,162,033,000","1,990,449,000","1,637,547,000","2,135,169,000","2,471,551,000","648,460,000","149,000,000","8,300,000"
	CurrentAssets,"146,791,000,000","161,580,000,000","132,733,000,000","96,334,000,000","75,101,000,000","60,197,000,000","45,781,000,000","36,474,000,000","31,327,000,000","24,625,000,000","21,296,000,000","17,490,000,000","13,747,000,000","9,797,000,000","6,157,000,000","5,164,000,000","3,373,000,000","2,929,000,000","2,539,396,000","1,820,809,000","1,615,676,000","1,207,920,000","1,361,129,000","1,012,178,000","424,254,000","137,300,000","7,100,000"
		CashCashEquivalentsAndShortTermInvestments,"70,026,000,000","96,049,000,000","84,396,000,000","55,021,000,000","41,250,000,000","30,986,000,000","25,981,000,000","19,808,000,000","17,416,000,000","12,447,000,000","11,448,000,000","9,576,000,000","8,762,000,000","6,366,000,000","3,727,000,000","3,112,000,000","2,019,000,000","2,000,000,000","1,779,199,000","1,394,823,000","1,300,969,000","996,585,000","1,100,522,000","706,188,000","373,445,000","109,800,000","6,200,000"
			CashAndCashEquivalents,"53,888,000,000","36,220,000,000","42,122,000,000","36,092,000,000","31,750,000,000","20,522,000,000","19,334,000,000","15,890,000,000","14,557,000,000","8,658,000,000","8,084,000,000","5,269,000,000","3,777,000,000","3,444,000,000","2,769,000,000","2,539,000,000","1,022,000,000","1,013,000,000","1,302,600,000","1,102,273,000","738,254,000","540,282,000","822,435,000","116,962,000","25,561,000","109,800,000","6,200,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,"407,906,000","427,306,000",,"149,968,000","141,922,000","116,962,000","25,561,000",,
				CashEquivalents,,,,,,,,,,,,,,,,,,,"894,694,000","674,967,000",,"390,314,000","680,513,000",,,,
			OtherShortTermInvestments,"16,138,000,000","59,829,000,000","42,274,000,000","18,929,000,000","9,500,000,000","10,464,000,000","6,647,000,000","3,918,000,000","2,859,000,000","3,789,000,000","3,364,000,000","4,307,000,000","4,985,000,000","2,922,000,000","958,000,000","573,000,000","997,000,000","987,000,000","476,599,000","292,550,000","562,715,000","456,303,000","278,087,000","589,226,000","347,884,000",,
		Receivables,"42,360,000,000","32,891,000,000","24,542,000,000","20,816,000,000","16,677,000,000","13,164,000,000","8,339,000,000","6,423,000,000","5,612,000,000","4,767,000,000","3,364,000,000","2,571,000,000","1,587,000,000","988,000,000","827,000,000","705,000,000","399,000,000","274,000,000","199,100,000","132,069,000","112,282,000",,,,,,
			AccountsReceivable,"42,360,000,000","32,891,000,000","24,542,000,000","20,816,000,000","16,677,000,000","13,164,000,000","8,339,000,000","6,423,000,000","5,612,000,000","4,767,000,000","3,364,000,000","2,571,000,000","1,587,000,000","988,000,000","827,000,000","705,000,000","399,000,000","274,000,000","199,100,000","132,069,000","112,282,000",,,,,,
				GrossAccountsReceivable,"43,760,000,000","33,891,000,000","25,542,000,000","21,534,000,000","17,172,000,000","13,512,000,000","8,576,000,000","6,612,000,000","5,802,000,000","4,920,000,000","3,480,000,000",,,"1,060,000,000","908,000,000","769,000,000","439,000,000","317,000,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,400,000,000","-1,000,000,000","-1,000,000,000","-718,000,000","-495,000,000","-348,000,000","-237,000,000","-189,000,000","-190,000,000","-153,000,000","-116,000,000",,,"-72,000,000","-81,000,000","-64,000,000","-40,000,000","-43,000,000",,,,,,,,,
		Inventory,"34,405,000,000","32,640,000,000","23,795,000,000","20,497,000,000","17,174,000,000","16,047,000,000","11,461,000,000","10,243,000,000","8,299,000,000","7,411,000,000","6,031,000,000","4,992,000,000","3,202,000,000","2,171,000,000","1,399,000,000","1,200,000,000","877,000,000","566,000,000","479,709,000","293,917,000","202,425,000","143,722,000","174,563,000","220,646,000","29,501,000","9,000,000","600,000"
			FinishedGoods,,"32,640,000,000","23,795,000,000","20,497,000,000","17,174,000,000","16,047,000,000","11,461,000,000","10,243,000,000","8,299,000,000","7,411,000,000","6,031,000,000","4,992,000,000","3,202,000,000","2,171,000,000","1,399,000,000","1,200,000,000","877,000,000","566,000,000","479,709,000","293,917,000","202,425,000","143,722,000","174,563,000","220,646,000","29,501,000",,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,"67,613,000","86,044,000","85,344,000","21,308,000",,
		CurrentDeferredAssets,,,,,,,,,,,"453,000,000","351,000,000","196,000,000","272,000,000","204,000,000","147,000,000","78,000,000","89,000,000","81,388,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"453,000,000","351,000,000","196,000,000","272,000,000","204,000,000","147,000,000","78,000,000","89,000,000","81,388,000",,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"18,500,000","300,000"
	TotalNonCurrentAssets,"315,884,000,000","258,969,000,000","188,462,000,000","128,914,000,000","87,547,000,000","71,113,000,000","37,621,000,000","28,970,000,000","23,178,000,000","15,534,000,000","11,259,000,000","7,788,000,000","5,050,000,000","4,016,000,000","2,157,000,000","1,321,000,000","990,000,000","767,000,000","709,112,000","341,224,000","374,773,000","429,627,000","774,040,000","1,459,373,000","224,206,000","11,700,000","1,200,000"
		NetPPE,"252,838,000,000","216,363,000,000","150,667,000,000","97,846,000,000","61,797,000,000","48,866,000,000","29,114,000,000","21,838,000,000","16,967,000,000","10,949,000,000","7,060,000,000","4,417,000,000","2,414,000,000","1,290,000,000","854,000,000","543,000,000","457,000,000","348,000,000","246,156,000","224,285,000","239,398,000","271,751,000","366,416,000","317,613,000","29,791,000","9,300,000","1,000,000"
			GrossPPE,"349,853,000,000","294,882,000,000","211,101,000,000","144,821,000,000","95,770,000,000","68,573,000,000","42,441,000,000","30,053,000,000","22,730,000,000","14,809,000,000","9,582,000,000","5,786,000,000","3,256,000,000","1,915,000,000","1,409,000,000","1,023,000,000","824,000,000","571,000,000","422,963,000","371,738,000","482,736,000","438,143,000","481,264,000","366,977,000","43,585,000","12,900,000","1,300,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,"0","0","0","0",,
				LandAndImprovements,"91,650,000,000","81,104,000,000","57,324,000,000","39,223,000,000","31,741,000,000","23,718,000,000","13,998,000,000","9,770,000,000","7,150,000,000","4,584,000,000","2,966,000,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,"107,367,000","43,968,000","5,535,000",,
				MachineryFurnitureEquipment,,"128,683,000,000","97,224,000,000","71,310,000,000","54,591,000,000","38,387,000,000","25,989,000,000","18,417,000,000","14,213,000,000","9,274,000,000","6,228,000,000","643,000,000","487,000,000","398,000,000","331,000,000","285,000,000","230,000,000","516,000,000","79,026,000","57,413,000","264,590,000","268,441,000","317,806,000","187,345,000","37,608,000",,
				OtherProperties,"228,183,000,000","60,200,000,000","41,325,000,000","28,252,000,000","2,577,000,000","2,390,000,000","649,000,000","334,000,000","304,000,000","231,000,000","174,000,000","5,037,000,000","2,509,000,000","1,239,000,000","991,000,000","723,000,000","594,000,000","55,000,000","343,937,000","314,325,000","218,146,000","207,610,000","51,969,000","52,374,000","442,000",,
				ConstructionInProgress,"30,020,000,000","24,895,000,000","15,228,000,000","6,036,000,000","6,861,000,000","4,078,000,000","1,805,000,000","1,532,000,000","1,063,000,000","720,000,000","214,000,000","106,000,000","260,000,000","278,000,000","87,000,000","15,000,000",,,,,,"24,846,000","4,122,000","83,290,000",,,
				Leases,,,,,,,,,,,,,,,,,,,,,,"144,856,000","159,336,000","96,342,000","5,977,000",,
			AccumulatedDepreciation,"-97,015,000,000","-78,519,000,000","-60,434,000,000","-46,975,000,000","-33,973,000,000","-19,707,000,000","-13,327,000,000","-8,215,000,000","-5,763,000,000","-3,860,000,000","-2,522,000,000","-1,369,000,000","-842,000,000","-625,000,000","-555,000,000","-480,000,000","-367,000,000","-223,000,000","-176,807,000","-147,453,000","-243,338,000","-166,392,000","-114,848,000","-49,364,000","-13,794,000","-3,600,000","-300,000"
		GoodwillAndOtherIntangibleAssets,"20,288,000,000","20,478,000,000","19,998,000,000","18,803,000,000","18,658,000,000","16,721,000,000","4,638,000,000","4,521,000,000","4,083,000,000","3,300,000,000","3,277,000,000","2,602,000,000","1,912,000,000","1,234,000,000","438,000,000","222,000,000","195,000,000","159,000,000","138,999,000","69,639,000","74,271,000","79,749,000","255,325,000","730,144,000","186,377,000",,
			Goodwill,"20,288,000,000","15,371,000,000","15,017,000,000","14,754,000,000","14,548,000,000","13,350,000,000","3,784,000,000","3,759,000,000","3,319,000,000","2,655,000,000","2,552,000,000","1,955,000,000","1,349,000,000","1,234,000,000","438,000,000","222,000,000","195,000,000","159,000,000","138,999,000","69,121,000","70,811,000","45,367,000","158,990,000","534,699,000",,,
			OtherIntangibleAssets,,"5,107,000,000","4,981,000,000","4,049,000,000","4,110,000,000","3,371,000,000","854,000,000","762,000,000","764,000,000","645,000,000","725,000,000","647,000,000","563,000,000","567,000,000","160,000,000","26,000,000","21,000,000","159,000,000","138,999,000","518,000","3,460,000","34,382,000","96,335,000","195,445,000","186,377,000",,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,"14,831,000","15,442,000","28,359,000","92,250,000","371,462,000",,,
			LongTermEquityInvestment,,,,,,,,,,,,,,,,,,,,"14,831,000","15,442,000","28,359,000","92,250,000","226,727,000",,,
			OtherInvestments,,,,,,,,,,,,,,,,,,,,,,,,"144,735,000",,,
		NonCurrentDeferredAssets,,,,,,,,,,,"123,000,000","28,000,000","22,000,000","18,000,000","145,000,000","260,000,000","199,000,000","223,000,000","281,757,000",,,,,"40,154,000","7,412,000",,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,"123,000,000","28,000,000","22,000,000","18,000,000","145,000,000","260,000,000","199,000,000","223,000,000","281,757,000",,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,"626,000",,
		OtherNonCurrentAssets,"42,758,000,000","22,128,000,000","17,797,000,000","12,265,000,000","7,092,000,000","5,526,000,000","3,869,000,000","2,611,000,000","2,128,000,000","1,285,000,000","799,000,000","741,000,000","702,000,000","1,474,000,000","720,000,000","296,000,000","139,000,000","37,000,000","42,200,000","32,469,000","45,662,000","49,768,000","60,049,000","411,616,000","8,038,000","2,400,000","200,000"
TotalLiabilitiesNetMinorityInterest,"316,632,000,000","282,304,000,000","227,791,000,000","163,188,000,000","119,099,000,000","103,601,000,000","64,117,000,000","52,060,000,000","43,764,000,000","30,413,000,000","24,363,000,000","17,521,000,000","11,933,000,000","8,556,000,000","5,642,000,000","5,288,000,000","3,932,000,000","3,450,000,000","3,475,719,000","3,198,140,000","3,343,263,000","3,077,547,000","3,102,420,000","2,205,273,000","509,715,000","120,500,000","4,900,000"
	CurrentLiabilities,"155,393,000,000","142,266,000,000","126,385,000,000","87,812,000,000","68,391,000,000","57,883,000,000","43,816,000,000","33,899,000,000","28,089,000,000","22,980,000,000","19,002,000,000","14,896,000,000","10,372,000,000","7,364,000,000","4,746,000,000","3,714,000,000","2,532,000,000","1,929,000,000","1,620,400,000","1,252,701,000","1,065,958,000","921,414,000","974,956,000","738,935,000","161,575,000","43,800,000","4,900,000"
		PayablesAndAccruedExpenses,"142,166,000,000","130,439,000,000","116,677,000,000","79,622,000,000","61,855,000,000","52,786,000,000","39,048,000,000","30,781,000,000","26,266,000,000","21,821,000,000","19,002,000,000","14,896,000,000","10,372,000,000","7,364,000,000","4,687,000,000","3,714,000,000","2,532,000,000","1,929,000,000","1,576,920,000","1,210,641,000","1,004,724,000","818,444,000","827,262,000","669,823,000","126,344,000","32,700,000","2,900,000"
			Payables,"79,600,000,000","78,664,000,000","72,539,000,000","47,183,000,000","38,192,000,000","34,616,000,000","25,309,000,000","20,397,000,000","16,459,000,000","15,133,000,000","13,318,000,000","11,145,000,000","8,051,000,000","5,605,000,000","3,594,000,000","2,795,000,000","1,816,000,000","1,366,000,000","1,141,733,000","819,811,000","618,128,000","444,748,000","485,383,000","463,026,000","113,273,000","32,700,000","2,900,000"
				AccountsPayable,"79,600,000,000","78,664,000,000","72,539,000,000","47,183,000,000","38,192,000,000","34,616,000,000","25,309,000,000","20,397,000,000","16,459,000,000","15,133,000,000","13,318,000,000","11,145,000,000","8,051,000,000","5,605,000,000","3,594,000,000","2,795,000,000","1,816,000,000","1,366,000,000","1,141,733,000","819,811,000","618,128,000","444,748,000","485,383,000","463,026,000","113,273,000","32,700,000","2,900,000"
			CurrentAccruedExpenses,"62,566,000,000","51,775,000,000","44,138,000,000","32,439,000,000","23,663,000,000","18,170,000,000","13,739,000,000","10,384,000,000","9,807,000,000","6,688,000,000","5,684,000,000","3,751,000,000","2,321,000,000","1,759,000,000","1,093,000,000","919,000,000","716,000,000","563,000,000","435,187,000","390,830,000","386,596,000","373,696,000","341,879,000","206,797,000","13,071,000",,
				InterestPayable,,,,,,,,,,,,,,,,,,,"74,059,000","73,100,000","71,661,000","68,632,000","69,196,000","24,888,000",,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,"59,000,000",,,,"2,381,000","4,216,000","13,319,000","14,992,000","16,577,000","14,322,000","684,000","1,500,000",
			CurrentDebt,,,,,,,,,,,,,,,"59,000,000",,,,"1,152,000","2,658,000","5,813,000","5,070,000","4,831,000","14,322,000","684,000","1,500,000",
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,"1,152,000","2,658,000","5,813,000","5,070,000","4,831,000",,,,
			CurrentCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,"1,229,000","1,558,000","7,506,000","9,922,000","11,746,000",,,,
		CurrentDeferredLiabilities,"13,227,000,000","11,827,000,000","9,708,000,000","8,190,000,000","6,536,000,000","5,097,000,000","4,768,000,000","3,118,000,000","1,823,000,000","1,159,000,000",,,,,,,,,"41,099,000","37,844,000","47,916,000","87,978,000","131,117,000","54,790,000",,,
			CurrentDeferredRevenue,"13,227,000,000","11,827,000,000","9,708,000,000","8,190,000,000","6,536,000,000","5,097,000,000","4,768,000,000","3,118,000,000","1,823,000,000","1,159,000,000",,,,,,,,,"41,099,000","37,844,000","47,916,000","87,978,000","131,117,000","54,790,000",,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,"74,059,000","73,100,000","-1,000","68,632,000","200,313,000","24,888,000","34,547,000","9,600,000","2,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"161,239,000,000","140,038,000,000","101,406,000,000","75,376,000,000","50,708,000,000","45,718,000,000","20,301,000,000","18,161,000,000","15,675,000,000","7,433,000,000","5,361,000,000","2,625,000,000","1,561,000,000","1,192,000,000","896,000,000","1,574,000,000","1,400,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
		LongTermDebtAndCapitalLeaseObligation,"140,118,000,000","116,395,000,000","84,389,000,000","63,205,000,000","39,787,000,000","37,926,000,000","15,213,000,000","14,183,000,000","12,489,000,000","5,181,000,000","3,830,000,000","1,415,000,000","641,000,000","109,000,000","533,000,000","1,344,000,000","1,267,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
			LongTermDebt,"67,150,000,000","48,744,000,000","31,816,000,000","23,414,000,000","23,495,000,000","24,743,000,000","7,694,000,000","8,235,000,000","8,265,000,000","3,191,000,000","3,084,000,000","255,000,000","184,000,000","109,000,000","409,000,000","1,282,000,000","1,247,000,000","1,521,000,000","1,854,804,000","1,944,280,000","2,276,320,000","2,139,718,000","2,114,373,000","1,466,338,000","348,077,000","76,700,000",
			LongTermCapitalLeaseObligation,"72,968,000,000","67,651,000,000","52,573,000,000","39,791,000,000","16,292,000,000","13,183,000,000","7,519,000,000","5,948,000,000","4,224,000,000","1,990,000,000","746,000,000","1,160,000,000","457,000,000","143,000,000","124,000,000","62,000,000","20,000,000",,"515,000","1,159,000","985,000","16,415,000","13,091,000",,"63,000",,
		NonCurrentDeferredLiabilities,,,,,"2,386,000,000","1,994,000,000","1,787,000,000","2,016,000,000","1,531,000,000","1,028,000,000","336,000,000","266,000,000","243,000,000","345,000,000","144,000,000","98,000,000","75,000,000",,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,,,,"2,386,000,000","1,994,000,000","1,787,000,000","2,016,000,000","1,531,000,000","1,028,000,000","336,000,000","266,000,000","243,000,000","345,000,000","144,000,000","98,000,000","75,000,000",,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,,,"243,000,000","202,000,000","144,000,000","98,000,000","75,000,000",,,,,,,,,,
		OtherNonCurrentLiabilities,"21,121,000,000","23,643,000,000","17,017,000,000","12,171,000,000","8,535,000,000","5,798,000,000","3,301,000,000","1,962,000,000","1,655,000,000","1,224,000,000","1,195,000,000","944,000,000","677,000,000","738,000,000","219,000,000","132,000,000","58,000,000",,,,,,,,,,
TotalEquityGrossMinorityInterest,"146,043,000,000","138,245,000,000","93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
	StockholdersEquity,"146,043,000,000","138,245,000,000","93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
		CapitalStock,"108,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,097,000","4,034,000","3,879,000","3,732,000","3,571,000","3,452,000","1,593,000",,
			PreferredStock,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
			CommonStock,"108,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,097,000","4,034,000","3,879,000","3,732,000","3,571,000","3,452,000","1,593,000",,
		AdditionalPaidInCapital,"75,066,000,000","55,538,000,000","42,865,000,000","33,658,000,000","26,791,000,000","21,389,000,000","17,186,000,000","13,394,000,000","11,135,000,000","9,573,000,000","8,347,000,000","6,990,000,000","6,325,000,000","5,736,000,000","4,121,000,000","3,063,000,000","2,517,000,000","2,263,000,000","2,124,598,000","1,899,398,000","1,649,946,000","1,462,769,000","1,338,303,000","1,195,540,000","300,130,000",,
		RetainedEarnings,"83,193,000,000","85,915,000,000","52,551,000,000","31,220,000,000","19,625,000,000","8,636,000,000","4,916,000,000","2,545,000,000","1,949,000,000","2,190,000,000","1,916,000,000","1,955,000,000","1,324,000,000","172,000,000","-730,000,000","-1,375,000,000","-1,837,000,000","-2,027,000,000","-2,385,977,000","-2,974,428,000","-3,009,710,000","-2,860,578,000","-2,293,301,000","-882,028,000","-162,060,000","-33,600,000","-6,000,000"
		TreasuryStock,"7,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","1,837,000,000","877,000,000","600,000,000","600,000,000","600,000,000","500,000,000","252,000,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-4,487,000,000","-1,376,000,000","-180,000,000","-986,000,000","-1,035,000,000","-484,000,000","-985,000,000","-723,000,000","-511,000,000","-185,000,000","-239,000,000","-316,000,000","-190,000,000","-56,000,000","-123,000,000","5,000,000","-1,000,000","6,000,000","32,109,000","37,739,000","9,662,000","-36,070,000","-2,376,000","-1,709,000","1,806,000",,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,"-2,038,000","-2,850,000","-6,591,000","-9,853,000","-13,448,000","-48,977,000","-2,724,000","62,100,000","9,400,000"
TotalCapitalization,"213,193,000,000","186,989,000,000","125,220,000,000","85,474,000,000","67,044,000,000","52,452,000,000","26,979,000,000","21,619,000,000","19,006,000,000","12,937,000,000","11,276,000,000","8,012,000,000","7,048,000,000","5,366,000,000","3,081,000,000","2,479,000,000","1,678,000,000","1,767,000,000","1,627,593,000","908,173,000","923,506,000","699,718,000","1,147,122,000","1,732,616,000","486,822,000","105,200,000","3,400,000"
CommonStockEquity,"146,043,000,000","138,245,000,000","93,404,000,000","62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
CapitalLeaseObligations,"72,968,000,000","67,651,000,000","52,573,000,000","39,791,000,000","16,292,000,000","13,183,000,000","7,519,000,000","5,948,000,000","4,224,000,000","1,990,000,000","746,000,000","1,160,000,000","457,000,000","143,000,000","124,000,000","62,000,000","20,000,000",,"1,744,000","2,717,000","8,491,000","26,337,000","24,837,000",,"63,000",,
NetTangibleAssets,"125,755,000,000","117,767,000,000","73,406,000,000","43,257,000,000","24,891,000,000","10,988,000,000","14,647,000,000","8,863,000,000","6,658,000,000","6,446,000,000","4,915,000,000","5,155,000,000","4,952,000,000","4,023,000,000","2,234,000,000","975,000,000","236,000,000","87,000,000","-366,210,000","-1,105,746,000","-1,427,085,000","-1,519,749,000","-1,222,576,000","-463,866,000","-47,632,000","28,500,000","3,400,000"
WorkingCapital,"-8,602,000,000","19,314,000,000","6,348,000,000","8,522,000,000","6,710,000,000","2,314,000,000","1,965,000,000","2,575,000,000","3,238,000,000","1,645,000,000","2,294,000,000","2,594,000,000","3,375,000,000","2,433,000,000","1,411,000,000","1,450,000,000","841,000,000","1,000,000,000","918,996,000","568,108,000","549,718,000","286,506,000","386,173,000","273,243,000","262,679,000","93,500,000","2,200,000"
InvestedCapital,"213,193,000,000","186,989,000,000","125,220,000,000","85,474,000,000","67,044,000,000","52,452,000,000","26,979,000,000","21,619,000,000","19,006,000,000","12,937,000,000","11,276,000,000","8,012,000,000","7,048,000,000","5,366,000,000","3,140,000,000","2,479,000,000","1,678,000,000","1,767,000,000","1,628,745,000","910,831,000","929,319,000","704,788,000","1,151,953,000","1,746,938,000","487,506,000","106,700,000","3,400,000"
TangibleBookValue,"125,755,000,000","117,767,000,000","73,406,000,000","43,257,000,000","24,891,000,000","10,988,000,000","14,647,000,000","8,863,000,000","6,658,000,000","6,446,000,000","4,915,000,000","5,155,000,000","4,952,000,000","4,023,000,000","2,234,000,000","975,000,000","236,000,000","87,000,000","-366,210,000","-1,105,746,000","-1,427,085,000","-1,519,749,000","-1,222,576,000","-463,866,000","-47,632,000","28,500,000","3,400,000"
TotalDebt,"140,118,000,000","116,395,000,000","84,389,000,000","63,205,000,000","39,787,000,000","37,926,000,000","15,213,000,000","14,183,000,000","12,489,000,000","5,181,000,000","3,830,000,000","1,415,000,000","641,000,000","109,000,000","592,000,000","1,344,000,000","1,267,000,000","1,521,000,000","1,857,700,000","1,949,655,000","2,290,624,000","2,171,125,000","2,144,041,000","1,480,660,000","348,824,000","78,200,000",
NetDebt,"13,262,000,000","12,524,000,000",,,,"4,221,000,000",,,,,,,,,,,"225,000,000","508,000,000","553,356,000","844,665,000","1,543,879,000","1,604,506,000","1,296,769,000","1,363,698,000","323,200,000",,
ShareIssued,"10,757,000,000","10,640,000,000","10,540,000,000","10,420,000,000","10,280,000,000","10,140,000,000","10,000,000,000","9,880,000,000","9,760,000,000","9,660,000,000","9,560,000,000","9,460,000,000","9,360,000,000","9,220,000,000","8,620,000,000","8,320,000,000","8,280,000,000","8,320,000,000","8,194,220,000","8,067,080,000","7,758,120,000","7,464,360,000","7,142,800,000","6,903,100,000","6,370,680,000","5,750,640,000","5,731,880,000"
OrdinarySharesNumber,"10,242,000,000","10,180,000,000","10,060,000,000","9,960,000,000","9,820,000,000","9,680,000,000","9,540,000,000","9,420,000,000","9,300,000,000","9,180,000,000","9,080,000,000","9,100,000,000","9,020,000,000","8,880,000,000","8,620,000,000","8,320,000,000","8,280,000,000","8,320,000,000","8,194,220,000","8,067,080,000","7,758,120,000","7,464,360,000","7,142,800,000","6,903,100,000","6,370,680,000","5,750,640,000","5,731,880,000"
TreasurySharesNumber,"515,000,000","460,000,000","480,000,000","460,000,000","460,000,000","460,000,000","460,000,000","460,000,000","460,000,000","480,000,000","480,000,000","360,000,000","340,000,000","340,000,000",,,,,,,,,,,,,